,0
긍정,18.09
직무,18.070000000000004
은행,18.040000000000003
청원글,18.03
전담사,18.02
비판,17.990000000000002
후배,17.98
설문,17.98
큰아이,17.970000000000002
독서,17.95
의무화,17.95
신생아,17.94
숫자,17.94
결석,17.93
결제,17.91
후회,17.879999999999995
공동,17.85
의대,17.830000000000002
음주,17.82
난이도,17.82
장점,17.81
살수,17.78
토익,17.78
상관,17.759999999999998
시선,17.75
수치,17.740000000000002
자동,17.74
페미니즘,17.710000000000004
홈페이지,17.71
절반,17.700000000000003
지명,17.7
개성,17.699999999999996
수급,17.68
학년도,17.68
주도,17.66
변별력,17.63
어처구니,17.63
pc,17.610000000000003
국정,17.6
단위,17.6
정년,17.59
허락,17.58
체력,17.560000000000002
개천,17.550000000000004
혁신,17.53
아르바이트,17.53
재발,17.52
이글,17.51
문과,17.470000000000002
병행,17.47
절감,17.46
두려움,17.46
회의,17.45
수위,17.44
청구,17.44
핑계,17.44
변명,17.43
박용진,17.42
약대,17.4
자습,17.38
스펙,17.370000000000005
모순,17.360000000000003
학문,17.320000000000004
주요,17.32
공급,17.31
수면,17.31
격리,17.29
제교사,17.29
호봉,17.250000000000004
소재,17.25
전반,17.25
산모,17.240000000000002
아픔,17.23
출입,17.21
그거,17.209999999999997
카페,17.200000000000003
낙태죄,17.2
등학생,17.180000000000003
선수,17.18
변질,17.18
공식,17.18
어린,17.16
지경,17.16
전담,17.150000000000002
중학생,17.150000000000002
창의력,17.130000000000003
알바,17.13
강원도,17.1
확정,17.1
가운데,17.09
허위,17.080000000000002
부담감,17.080000000000002
생존,17.08
퇴직,17.060000000000002
너희,17.060000000000002
학군,17.05
부지,17.03
연말,17.03
주사,16.990000000000002
여대,16.98
용기,16.96
자유학,16.96
월요일,16.959999999999997
속상,16.950000000000003
정말,16.939999999999998
사복,16.93
아동수,16.93
지필,16.92
증명,16.92
훈련,16.900000000000002
한번,16.89
신문,16.87
프랑스,16.87
중소기업,16.87
그곳,16.840000000000003
요새,16.84
